City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,morondava,-20.2833,44.2833,22.69,74,0,3.49,MG,1699661274
154,sabha,27.0377,14.4283,21.51,29,0,3.07,LY,1699661275
155,avarua,-21.2078,-159.775,27.03,83,100,3.6,CK,1699660848
156,rongelap,11.1635,166.8941,27.62,81,100,9.11,MH,1699661149
157,happy valley-goose bay,53.3168,-60.3315,-1.83,74,75,3.6,CA,1699661149
158,christiana,-27.914,25.1611,25.79,26,33,7.98,ZA,1699661004
159,shibetsu,43.659,145.132,5.39,65,40,4.63,JP,1699661276
160,port mathurin,-19.6833,63.4167,24.78,78,7,4.5,MU,1699660869
161,atafu village,-8.5421,-172.5159,28.94,75,27,4.82,TK,1699661147
162,saint-georges,12.0564,-61.7485,27.42,82,90,8.12,GD,1699661277
163,umm kaddadah,13.6017,26.6876,26.76,25,73,5.3,SD,1699661278
164,prado,-17.3411,-39.2208,24.95,84,2,5.25,BR,1699661278
165,yerofey pavlovich,53.9667,121.9667,-11.39,71,100,1.5,RU,1699661278
166,sur,22.5667,59.5289,25.37,64,2,2.82,OM,1699661279
167,mazagao,-0.115,-51.2894,27.43,75,31,3.62,BR,1699661266
168,afaahiti,-17.75,-149.2833,28.93,83,97,4.84,PF,1699661187
169,acarau,-2.8856,-40.12,26.45,78,2,8.52,BR,1699661145
170,selkirk,50.1436,-96.8845,0.08,97,36,1.15,CA,1699660990
171,kirkland lake,48.1446,-80.0377,-3.43,92,100,2.99,CA,1699661280
172,new norfolk,-42.7826,147.0587,18.84,72,77,3.86,AU,1699661281
173,kerikeri,-35.2268,173.9474,18.82,54,19,3.54,NZ,1699661248
174,sydney,-33.8679,151.2073,29.62,68,40,3.09,AU,1699660998
175,tonota,-21.4833,27.4833,19.78,66,0,4.63,BW,1699661282
176,santa cruz,-17.8,-63.1667,32.03,51,8,6.69,BO,1699661173
177,harstad,68.799,16.5293,0.34,96,41,0.89,NO,1699661283
178,enewetak,11.3474,162.3373,28.65,75,100,8.32,MH,1699661187
179,kavaratti,10.5669,72.642,28.0,76,71,2.97,IN,1699661240
180,mhangura,-16.8939,30.1683,19.76,55,42,4.25,ZW,1699661284
181,dataganj,28.0333,79.4,20.57,55,56,1.48,IN,1699661284
182,carnarvon,-24.8667,113.6333,22.13,63,84,8.24,AU,1699661148
183,escarcega,18.6089,-90.7454,25.55,78,69,2.0,MX,1699661285
184,port augusta,-32.5,137.7667,23.19,51,38,8.83,AU,1699661285
185,northam,51.0333,-4.2167,10.7,87,37,6.47,GB,1699661185
186,darab,28.7519,54.5444,16.1,42,6,1.02,IR,1699661286
187,greymouth,-42.4667,171.2,15.39,62,2,3.12,NZ,1699661286
188,joshimath,30.5667,79.5667,9.07,60,92,2.68,IN,1699661286
189,koh kong,11.6175,102.9806,25.99,87,87,2.05,KH,1699661287
190,tiflet,33.8947,-6.3065,12.33,76,7,2.11,MA,1699661287
191,san luis jilotepeque,14.65,-89.7333,21.36,88,5,1.89,GT,1699661287
192,qaqortoq,60.7167,-46.0333,-7.31,59,80,4.53,GL,1699661120
193,grand falls-windsor,48.9332,-55.6649,0.84,92,100,5.09,CA,1699661288
194,portland,45.5234,-122.6762,12.83,82,100,3.13,US,1699660795
195,toamasina,-18.1667,49.3833,22.0,94,40,2.06,MG,1699661289
196,stephenville,32.2207,-98.2023,13.47,88,100,4.63,US,1699661289
197,tazacorte,28.629,-17.9293,20.54,78,20,4.63,ES,1699661205
198,aizawl,23.7333,92.7167,10.17,79,8,1.14,IN,1699661290
199,bamboo flat,11.7,92.7167,25.05,94,40,0.0,IN,1699661056
200,medyn',54.9692,35.8586,5.97,75,100,2.24,RU,1699661291
201,talnakh,69.4865,88.3972,-6.55,95,100,5.58,RU,1699661102
202,tarauaca,-8.1614,-70.7656,27.33,69,74,1.08,BR,1699661291
203,crane,31.3974,-102.3501,12.53,54,89,3.26,US,1699661292
204,jeddah,21.5169,39.2192,25.92,73,20,1.54,SA,1699661192
205,colonia,50.9333,6.95,7.25,91,100,9.77,DE,1699660824
206,tura,25.5198,90.2201,17.14,92,0,1.72,IN,1699661160
207,st. john's,47.5649,-52.7093,2.93,89,100,10.29,CA,1699660968
208,taoudenni,22.6783,-3.9836,24.55,16,0,3.44,ML,1699661159
209,kimbe,-5.5502,150.1429,31.62,57,78,2.73,PG,1699661152
210,kavieng,-2.5744,150.7967,29.03,72,100,5.97,PG,1699661297
211,miyako,39.6367,141.9525,7.0,56,51,5.56,JP,1699661298
212,uliastay,47.7417,96.8444,-17.94,80,7,2.96,MN,1699661298
213,gloucester,51.8657,-2.2431,7.07,92,6,0.45,GB,1699661299
214,as sulayyil,20.4607,45.5779,21.14,34,100,3.62,SA,1699661299
215,mizan teferi,6.9833,35.5833,15.88,93,31,1.47,ET,1699661300
216,calderitas,18.55,-88.25,27.06,94,75,2.57,MX,1699661300
217,qarah bagh,34.9402,61.7759,12.75,34,36,2.02,AF,1699661300
218,sucua,-2.4667,-78.1667,20.82,96,99,0.78,EC,1699661301
219,nema,57.5067,50.5011,1.34,91,100,5.67,RU,1699661302
220,luderitz,-26.6481,15.1594,16.5,87,73,5.02,NA,1699661169
221,recreo,-29.2818,-65.061,25.68,77,93,3.49,AR,1699661302
222,strasburg,48.5834,7.743,8.81,87,75,4.63,FR,1699661303
223,kenai,60.5544,-151.2583,-0.48,97,100,0.0,US,1699661303
224,san pedro pochutla,15.7333,-96.4667,28.84,79,62,1.92,MX,1699661304
225,touros,-5.1989,-35.4608,25.89,71,18,6.58,BR,1699661199
226,soio,-6.1349,12.3689,25.73,86,100,3.87,AO,1699661304
227,imbituba,-28.24,-48.6703,20.02,94,59,5.58,BR,1699661054
228,tofol,5.3248,163.0078,27.88,83,100,8.23,FM,1699661305
229,conception bay south,47.4999,-52.9981,2.8,89,96,9.51,CA,1699661305
230,iskateley,67.6803,53.1512,-8.88,93,76,3.13,RU,1699661133
231,kuanda,56.3161,116.0806,-17.46,94,71,0.13,RU,1699661298
232,moree,-29.4667,149.85,26.58,47,0,5.7,AU,1699661306
233,eyl,7.9803,49.8164,25.79,82,91,3.69,SO,1699661306
234,semnan,35.5729,53.3971,13.65,60,100,2.19,IR,1699661309
235,sao gabriel da cachoeira,-0.1303,-67.0892,24.22,95,77,0.88,BR,1699661309
236,kingston,17.997,-76.7936,30.53,58,20,8.23,JM,1699660849
237,cabo san lucas,22.8909,-109.9124,28.67,72,12,3.17,MX,1699660626
238,broken hill,-31.95,141.4333,31.8,22,42,5.75,AU,1699661098
239,punta arenas,-53.15,-70.9167,11.06,58,75,8.23,CL,1699661159
240,porto novo,6.4965,2.6036,27.27,83,100,3.77,BJ,1699661311
241,vyaz'ma,55.2104,34.2951,3.38,88,100,4.18,RU,1699661311
242,araure,9.5601,-69.2148,24.74,85,100,1.77,VE,1699661311
243,leh,34.1667,77.5833,-1.36,80,90,0.77,IN,1699661313
244,georgiyevskaya,44.1114,43.4922,1.16,82,0,3.0,RU,1699661313
245,rayadrug,14.7,76.8667,20.9,77,52,2.45,IN,1699661314
246,villa gesell,-37.2639,-56.973,15.59,88,100,9.6,AR,1699661314
247,murghob,38.1702,73.9667,-7.39,33,1,1.59,TJ,1699661315
248,qom,34.6401,50.8764,15.59,35,94,0.85,IR,1699661316
249,khorixas,-20.3667,14.9667,19.45,42,34,1.97,NA,1699661317
250,tyukhtet,56.5389,89.3011,-2.76,92,100,2.29,RU,1699661247
251,rydeback,55.9667,12.7667,7.32,92,79,4.19,SE,1699661317
252,kamaishi,39.2667,141.8833,6.91,56,26,6.71,JP,1699661318
253,ta`u,-14.2336,-169.5144,27.65,81,23,2.97,AS,1699661318
254,kodiak,57.79,-152.4072,2.73,52,20,6.17,US,1699661103
255,sidi amrane,33.4989,6.008,16.24,46,33,5.29,DZ,1699661135
256,lihue,21.9789,-159.3672,28.58,73,75,6.17,US,1699661136
257,smidovich,48.6,133.8167,-12.69,91,51,3.17,RU,1699661319
258,aktau,43.65,51.2,5.32,59,6,5.72,KZ,1699661320
259,minas de marcona,-15.2119,-75.1103,15.48,85,63,5.99,PE,1699661100
260,magong,23.5654,119.5863,24.15,84,100,15.26,TW,1699661321
261,fort st. john,56.2499,-120.8529,-0.9,82,18,1.96,CA,1699661226
262,gadzhiyevo,69.2551,33.3362,-8.89,96,34,3.23,RU,1699661152
263,yaren,-0.5472,166.916,28.37,83,94,13.1,NR,1699661210
264,ryki,51.6257,21.9327,6.14,47,100,2.23,PL,1699661322
265,yuzhno-kurilsk,44.0306,145.8556,5.76,88,96,6.24,RU,1699661268
266,praya,14.9215,-23.5087,24.77,71,50,5.3,CV,1699661322
267,thompson,55.7435,-97.8558,-0.91,86,100,3.6,CA,1699660927
268,woolgoolga,-30.1106,153.2007,25.58,72,95,3.2,AU,1699661323
269,nar'yan-mar,67.6713,53.087,-8.83,93,76,3.13,RU,1699661323
270,rawai,7.7797,98.3253,29.43,78,99,0.97,TH,1699661324
271,baicheng,45.6167,122.8167,-5.96,41,1,3.87,CN,1699661324
272,belev,53.8119,36.1319,3.4,87,100,4.69,RU,1699661324
273,constitucion,-35.3333,-72.4167,11.93,91,78,4.6,CL,1699661324
274,fort bragg,35.139,-79.006,13.79,64,100,4.63,US,1699661264
